state,year,race,pop
Alaska (02),2017,Not Hispanic or Latino,686587
Alaska (02),2018,Hispanic or Latino,53146
Alaska (02),2018,Not Hispanic or Latino,681993
Alaska (02),2019,Hispanic or Latino,53212
Alaska (02),2019,Not Hispanic or Latino,678333
Arizona (04),1990,Hispanic or Latino,697660
Arizona (04),1990,Not Hispanic or Latino,2986437
Arizona (04),1991,Hispanic or Latino,737846
Arizona (04),1991,Not Hispanic or Latino,3050730
Arizona (04),1992,Hispanic or Latino,787515
Arizona (04),1992,Not Hispanic or Latino,3128225
Arizona (04),1993,Hispanic or Latino,842872
Arizona (04),1993,Not Hispanic or Latino,3222568
Arizona (04),1994,Hispanic or Latino,899570
Arizona (04),1994,Not Hispanic or Latino,3345519
Arizona (04),1995,Hispanic or Latino,965163
Arizona (04),1995,Not Hispanic or Latino,3467336
Arizona (04),1996,Hispanic or Latino,1028042
Arizona (04),1996,Not Hispanic or Latino,3558898
Arizona (04),1997,Hispanic or Latino,1091765
Arizona (04),1997,Not Hispanic or Latino,3645225
Arizona (04),1998,Hispanic or Latino,1162762
Arizona (04),1998,Not Hispanic or Latino,3720580
Arizona (04),1999,Hispanic or Latino,1235716
Arizona (04),1999,Not Hispanic or Latino,3788107
Arizona (04),2000,Hispanic or Latino,1309389
Arizona (04),2000,Not Hispanic or Latino,3851197
Arizona (04),2001,Hispanic or Latino,1366916
Arizona (04),2001,Not Hispanic or Latino,3906561
Arizona (04),2002,Hispanic or Latino,1426437
Arizona (04),2002,Not Hispanic or Latino,3969818
Arizona (04),2003,Hispanic or Latino,1480908
Arizona (04),2003,Not Hispanic or Latino,4029456
Arizona (04),2004,Hispanic or Latino,1541006
Arizona (04),2004,Not Hispanic or Latino,4111398
Arizona (04),2005,Hispanic or Latino,1618339
Arizona (04),2005,Not Hispanic or Latino,4220738
Arizona (04),2006,Hispanic or Latino,1701963
Arizona (04),2006,Not Hispanic or Latino,4327178
Arizona (04),2007,Hispanic or Latino,1773645
Arizona (04),2007,Not Hispanic or Latino,4394036
Arizona (04),2008,Hispanic or Latino,1830866
Arizona (04),2008,Not Hispanic or Latino,4449496
Arizona (04),2009,Hispanic or Latino,1866820
Arizona (04),2009,Not Hispanic or Latino,4476334
Arizona (04),2010,Hispanic or Latino,1903434
Arizona (04),2010,Not Hispanic or Latino,4503738
Arizona (04),2011,Hispanic or Latino,1936182
Arizona (04),2011,Not Hispanic or Latino,4536461
Arizona (04),2012,Hispanic or Latino,1974553
Arizona (04),2012,Not Hispanic or Latino,4580425
Arizona (04),2013,Hispanic or Latino,2013458
Arizona (04),2013,Not Hispanic or Latino,4619306
Arizona (04),2014,Hispanic or Latino,2058718
Arizona (04),2014,Not Hispanic or Latino,4671695
Arizona (04),2015,Hispanic or Latino,2108105
Arizona (04),2015,Not Hispanic or Latino,4721571
Arizona (04),2016,Hispanic or Latino,2157992
Arizona (04),2016,Not Hispanic or Latino,4783080
Arizona (04),2017,Hispanic or Latino,2207774
Arizona (04),2017,Not Hispanic or Latino,4836234
Arizona (04),2018,Hispanic or Latino,2258856
Arizona (04),2018,Not Hispanic or Latino,4899168
Arizona (04),2019,Hispanic or Latino,2310590
Arizona (04),2019,Not Hispanic or Latino,4968127
Arkansas (05),1990,Hispanic or Latino,19208
Arkansas (05),1990,Not Hispanic or Latino,2337378
Arkansas (05),1991,Hispanic or Latino,21067
Arkansas (05),1991,Not Hispanic or Latino,2362077
Arkansas (05),1992,Hispanic or Latino,23129
Arkansas (05),1992,Not Hispanic or Latino,2392855
Arkansas (05),1993,Hispanic or Latino,26801
Arkansas (05),1993,Not Hispanic or Latino,2429502
Arkansas (05),1994,Hispanic or Latino,31346
Arkansas (05),1994,Not Hispanic or Latino,2462673
Arkansas (05),1995,Hispanic or Latino,38738
Arkansas (05),1995,Not Hispanic or Latino,2496661
Arkansas (05),1996,Hispanic or Latino,48681
Arkansas (05),1996,Not Hispanic or Latino,2523428
Arkansas (05),1997,Hispanic or Latino,55831
Arkansas (05),1997,Not Hispanic or Latino,2545260
Arkansas (05),1998,Hispanic or Latino,64811
Arkansas (05),1998,Not Hispanic or Latino,2561478
Arkansas (05),1999,Hispanic or Latino,74627
Arkansas (05),1999,Not Hispanic or Latino,2577233
Arkansas (05),2000,Hispanic or Latino,87804
Arkansas (05),2000,Not Hispanic or Latino,2590784
Arkansas (05),2001,Hispanic or Latino,96526
Arkansas (05),2001,Not Hispanic or Latino,2595045
Arkansas (05),2002,Hispanic or Latino,105694
Arkansas (05),2002,Not Hispanic or Latino,2600233
Arkansas (05),2003,Hispanic or Latino,115624
Arkansas (05),2003,Not Hispanic or Latino,2609192
Arkansas (05),2004,Hispanic or Latino,125103
Arkansas (05),2004,Not Hispanic or Latino,2624583
Arkansas (05),2005,Hispanic or Latino,137148
Arkansas (05),2005,Not Hispanic or Latino,2643949
Arkansas (05),2006,Hispanic or Latino,149583
Arkansas (05),2006,Not Hispanic or Latino,2672178
Arkansas (05),2007,Hispanic or Latino,160397
Arkansas (05),2007,Not Hispanic or Latino,2688253
Arkansas (05),2008,Hispanic or Latino,170231
Arkansas (05),2008,Not Hispanic or Latino,2704323
Arkansas (05),2009,Hispanic or Latino,179039
Arkansas (05),2009,Not Hispanic or Latino,2717804
Arkansas (05),2010,Hispanic or Latino,187482
Arkansas (05),2010,Not Hispanic or Latino,2734482
Arkansas (05),2011,Hispanic or Latino,193593
Arkansas (05),2011,Not Hispanic or Latino,2747074
Arkansas (05),2012,Hispanic or Latino,199112
Arkansas (05),2012,Not Hispanic or Latino,2753052
Arkansas (05),2013,Hispanic or Latino,203956
Arkansas (05),2013,Not Hispanic or Latino,2755444
Arkansas (05),2014,Hispanic or Latino,208394
Arkansas (05),2014,Not Hispanic or Latino,2758998
Arkansas (05),2015,Hispanic or Latino,213648
Arkansas (05),2015,Not Hispanic or Latino,2764400
Arkansas (05),2016,Hispanic or Latino,219388
Arkansas (05),2016,Not Hispanic or Latino,2770530
Arkansas (05),2017,Hispanic or Latino,226085
Arkansas (05),2017,Not Hispanic or Latino,2775260
Arkansas (05),2018,Hispanic or Latino,231674
Arkansas (05),2018,Not Hispanic or Latino,2778059
Arkansas (05),2019,Hispanic or Latino,236631
Arkansas (05),2019,Not Hispanic or Latino,2781173
California (06),1990,Hispanic or Latino,7779607
California (06),1990,Not Hispanic or Latino,22179908
California (06),1991,Hispanic or Latino,8092243
California (06),1991,Not Hispanic or Latino,22378493
California (06),1992,Hispanic or Latino,8421511
California (06),1992,Not Hispanic or Latino,22553148
California (06),1993,Hispanic or Latino,8751621
California (06),1993,Not Hispanic or Latino,22523307
California (06),1994,Hispanic or Latino,9053073
California (06),1994,Not Hispanic or Latino,22431362
California (06),1995,Hispanic or Latino,9316255
