state,year,race,pop
Florida (12),2004,Hispanic or Latino,3331269
Florida (12),2004,Not Hispanic or Latino,14084049
Florida (12),2005,Hispanic or Latino,3524067
Florida (12),2005,Not Hispanic or Latino,14317971
Florida (12),2006,Hispanic or Latino,3713980
Florida (12),2006,Not Hispanic or Latino,14453010
Florida (12),2007,Hispanic or Latino,3872136
Florida (12),2007,Not Hispanic or Latino,14495706
Florida (12),2008,Hispanic or Latino,4009162
Florida (12),2008,Not Hispanic or Latino,14518143
Florida (12),2009,Hispanic or Latino,4124307
Florida (12),2009,Not Hispanic or Latino,14528337
Florida (12),2010,Hispanic or Latino,4251935
Florida (12),2010,Not Hispanic or Latino,14593602
Florida (12),2011,Hispanic or Latino,4376330
Florida (12),2011,Not Hispanic or Latino,14676907
Florida (12),2012,Hispanic or Latino,4506069
Florida (12),2012,Not Hispanic or Latino,14791753
Florida (12),2013,Hispanic or Latino,4650935
Florida (12),2013,Not Hispanic or Latino,14894686
Florida (12),2014,Hispanic or Latino,4803659
Florida (12),2014,Not Hispanic or Latino,15042252
Florida (12),2015,Hispanic or Latino,4980837
Florida (12),2015,Not Hispanic or Latino,15228205
Florida (12),2016,Hispanic or Latino,5179794
Florida (12),2016,Not Hispanic or Latino,15433683
Florida (12),2017,Hispanic or Latino,5368560
Florida (12),2017,Not Hispanic or Latino,15595053
Florida (12),2018,Hispanic or Latino,5537857
Florida (12),2018,Not Hispanic or Latino,15706460
Florida (12),2019,Hispanic or Latino,5663860
Florida (12),2019,Not Hispanic or Latino,15813877
Georgia (13),1990,Hispanic or Latino,109286
Georgia (13),1990,Not Hispanic or Latino,6403316
Georgia (13),1991,Hispanic or Latino,122962
Georgia (13),1991,Not Hispanic or Latino,6530043
Georgia (13),1992,Hispanic or Latino,139946
Georgia (13),1992,Not Hispanic or Latino,6677257
Georgia (13),1993,Hispanic or Latino,157845
Georgia (13),1993,Not Hispanic or Latino,6820395
Georgia (13),1994,Hispanic or Latino,179827
Georgia (13),1994,Not Hispanic or Latino,6977338
Georgia (13),1995,Hispanic or Latino,211332
Georgia (13),1995,Not Hispanic or Latino,7117081
Georgia (13),1996,Hispanic or Latino,246417
Georgia (13),1996,Not Hispanic or Latino,7254652
Georgia (13),1997,Hispanic or Latino,290169
Georgia (13),1997,Not Hispanic or Latino,7394930
Georgia (13),1998,Hispanic or Latino,330160
Georgia (13),1998,Not Hispanic or Latino,7533376
Georgia (13),1999,Hispanic or Latino,380298
Georgia (13),1999,Not Hispanic or Latino,7665667
Georgia (13),2000,Hispanic or Latino,441576
Georgia (13),2000,Not Hispanic or Latino,7785727
Georgia (13),2001,Hispanic or Latino,484128
Georgia (13),2001,Not Hispanic or Latino,7892910
Georgia (13),2002,Hispanic or Latino,523285
Georgia (13),2002,Not Hispanic or Latino,7984971
Georgia (13),2003,Hispanic or Latino,560133
Georgia (13),2003,Not Hispanic or Latino,8062660
Georgia (13),2004,Hispanic or Latino,602574
Georgia (13),2004,Not Hispanic or Latino,8166678
Georgia (13),2005,Hispanic or Latino,646959
Georgia (13),2005,Not Hispanic or Latino,8278963
Georgia (13),2006,Hispanic or Latino,699663
Georgia (13),2006,Not Hispanic or Latino,8456150
Georgia (13),2007,Hispanic or Latino,751168
Georgia (13),2007,Not Hispanic or Latino,8598820
Georgia (13),2008,Hispanic or Latino,795001
Georgia (13),2008,Not Hispanic or Latino,8709842
Georgia (13),2009,Hispanic or Latino,830405
Georgia (13),2009,Not Hispanic or Latino,8790441
Georgia (13),2010,Hispanic or Latino,857077
Georgia (13),2010,Not Hispanic or Latino,8854804
Georgia (13),2011,Hispanic or Latino,872371
Georgia (13),2011,Not Hispanic or Latino,8930060
Georgia (13),2012,Hispanic or Latino,886288
Georgia (13),2012,Not Hispanic or Latino,9015142
Georgia (13),2013,Hispanic or Latino,897614
Georgia (13),2013,Not Hispanic or Latino,9074865
Georgia (13),2014,Hispanic or Latino,914656
Georgia (13),2014,Not Hispanic or Latino,9152622
Georgia (13),2015,Hispanic or Latino,938992
Georgia (13),2015,Not Hispanic or Latino,9239455
Georgia (13),2016,Hispanic or Latino,968481
Georgia (13),2016,Not Hispanic or Latino,9333409
Georgia (13),2017,Hispanic or Latino,994571
Georgia (13),2017,Not Hispanic or Latino,9415759
Georgia (13),2018,Hispanic or Latino,1022370
Georgia (13),2018,Not Hispanic or Latino,9488761
Georgia (13),2019,Hispanic or Latino,1048724
Georgia (13),2019,Not Hispanic or Latino,9568699
Hawaii (15),1990,Hispanic or Latino,81378
Hawaii (15),1990,Not Hispanic or Latino,1032113
Hawaii (15),1991,Hispanic or Latino,84235
Hawaii (15),1991,Not Hispanic or Latino,1052519
Hawaii (15),1992,Hispanic or Latino,86197
Hawaii (15),1992,Not Hispanic or Latino,1072416
Hawaii (15),1993,Hispanic or Latino,86806
Hawaii (15),1993,Not Hispanic or Latino,1086032
Hawaii (15),1994,Hispanic or Latino,87511
Hawaii (15),1994,Not Hispanic or Latino,1100025
Hawaii (15),1995,Hispanic or Latino,87623
Hawaii (15),1995,Not Hispanic or Latino,1109231
Hawaii (15),1996,Hispanic or Latino,88386
Hawaii (15),1996,Not Hispanic or Latino,1115369
Hawaii (15),1997,Hispanic or Latino,89673
Hawaii (15),1997,Not Hispanic or Latino,1121967
Hawaii (15),1998,Hispanic or Latino,89216
Hawaii (15),1998,Not Hispanic or Latino,1126017
Hawaii (15),1999,Hispanic or Latino,87799
Hawaii (15),1999,Not Hispanic or Latino,1122501
Hawaii (15),2000,Hispanic or Latino,87989
Hawaii (15),2000,Not Hispanic or Latino,1125530
Hawaii (15),2001,Hispanic or Latino,91446
Hawaii (15),2001,Not Hispanic or Latino,1134502
Hawaii (15),2002,Hispanic or Latino,95043
Hawaii (15),2002,Not Hispanic or Latino,1144570
Hawaii (15),2003,Hispanic or Latino,97672
Hawaii (15),2003,Not Hispanic or Latino,1153482
Hawaii (15),2004,Hispanic or Latino,101386
Hawaii (15),2004,Not Hispanic or Latino,1172183
Hawaii (15),2005,Hispanic or Latino,104657
Hawaii (15),2005,Not Hispanic or Latino,1188072
Hawaii (15),2006,Hispanic or Latino,108323
Hawaii (15),2006,Not Hispanic or Latino,1201408
Hawaii (15),2007,Hispanic or Latino,111147
Hawaii (15),2007,Not Hispanic or Latino,1204528
Hawaii (15),2008,Hispanic or Latino,115331
Hawaii (15),2008,Not Hispanic or Latino,1216882
Hawaii (15),2009,Hispanic or Latino,119105
Hawaii (15),2009,Not Hispanic or Latino,1227612
Hawaii (15),2010,Hispanic or Latino,122092
Hawaii (15),2010,Not Hispanic or Latino,1241871
Hawaii (15),2011,Hispanic or Latino,127455
Hawaii (15),2011,Not Hispanic or Latino,1251874
Hawaii (15),2012,Hispanic or Latino,132691
Hawaii (15),2012,Not Hispanic or Latino,1262113
Hawaii (15),2013,Hispanic or Latino,137873
Hawaii (15),2013,Not Hispanic or Latino,1270370
Hawaii (15),2014,Hispanic or Latino,141796
Hawaii (15),2014,Not Hispanic or Latino,1272742
Hawaii (15),2015,Hispanic or Latino,145315
Hawaii (15),2015,Not Hispanic or Latino,1276737
Hawaii (15),2016,Hispanic or Latino,148592
Hawaii (15),2016,Not Hispanic or Latino,1278967
Hawaii (15),2017,Hispanic or Latino,149930
Hawaii (15),2017,Not Hispanic or Latino,1274463
Hawaii (15),2018,Hispanic or Latino,150891
Hawaii (15),2018,Not Hispanic or Latino,1269702
Hawaii (15),2019,Hispanic or Latino,150864
Hawaii (15),2019,Not Hispanic or Latino,1265008
Idaho (16),1990,Hispanic or Latino,52914
Idaho (16),1990,Not Hispanic or Latino,959470
Idaho (16),1991,Hispanic or Latino,56398
Idaho (16),1991,Not Hispanic or Latino,984918
Idaho (16),1992,Hispanic or Latino,61025
Idaho (16),1992,Not Hispanic or Latino,1010660
Idaho (16),1993,Hispanic or Latino,65795
Idaho (16),1993,Not Hispanic or Latino,1042973
Idaho (16),1994,Hispanic or Latino,70956
Idaho (16),1994,Not Hispanic or Latino,1074184
Idaho (16),1995,Hispanic or Latino,75780
Idaho (16),1995,Not Hispanic or Latino,1101542
Idaho (16),1996,Hispanic or Latino,80536
Idaho (16),1996,Not Hispanic or Latino,1122547
Idaho (16),1997,Hispanic or Latino,85593
Idaho (16),1997,Not Hispanic or Latino,1142927
Idaho (16),1998,Hispanic or Latino,90896
Idaho (16),1998,Not Hispanic or Latino,1161434
Idaho (16),1999,Hispanic or Latino,96258
Idaho (16),1999,Not Hispanic or Latino,1179416
Idaho (16),2000,Hispanic or Latino,103038
Idaho (16),2000,Not Hispanic or Latino,1196392
Idaho (16),2001,Hispanic or Latino,109067
Idaho (16),2001,Not Hispanic or Latino,1210895
Idaho (16),2002,Hispanic or Latino,114838
Idaho (16),2002,Not Hispanic or Latino,1225534
Idaho (16),2003,Hispanic or Latino,120694
Idaho (16),2003,Not Hispanic or Latino,1242686
Idaho (16),2004,Hispanic or Latino,127308
Idaho (16),2004,Not Hispanic or Latino,1264494
Idaho (16),2005,Hispanic or Latino,135345
Idaho (16),2005,Not Hispanic or Latino,1292896
Idaho (16),2006,Hispanic or Latino,145495
Idaho (16),2006,Not Hispanic or Latino,1323174
Idaho (16),2007,Hispanic or Latino,155222
Idaho (16),2007,Not Hispanic or Latino,1349883
Idaho (16),2008,Hispanic or Latino,163856
Idaho (16),2008,Not Hispanic or Latino,1370464
Idaho (16),2009,Hispanic or Latino,170818
Idaho (16),2009,Not Hispanic or Latino,1383621
Idaho (16),2010,Hispanic or Latino,176996
Idaho (16),2010,Not Hispanic or Latino,1393750
Idaho (16),2011,Hispanic or Latino,181259
Idaho (16),2011,Not Hispanic or Latino,1402651
Idaho (16),2012,Hispanic or Latino,185598
Idaho (16),2012,Not Hispanic or Latino,1409726
Idaho (16),2013,Hispanic or Latino,191269
Idaho (16),2013,Not Hispanic or Latino,1419937
Idaho (16),2014,Hispanic or Latino,196144
Idaho (16),2014,Not Hispanic or Latino,1434968
Idaho (16),2015,Hispanic or Latino,201543
Idaho (16),2015,Not Hispanic or Latino,1449516
Idaho (16),2016,Hispanic or Latino,208573
Idaho (16),2016,Not Hispanic or Latino,1473807
Idaho (16),2017,Hispanic or Latino,215568
Idaho (16),2017,Not Hispanic or Latino,1502147
Idaho (16),2018,Hispanic or Latino,222206
Idaho (16),2018,Not Hispanic or Latino,1528330
Idaho (16),2019,Hispanic or Latino,229490
Idaho (16),2019,Not Hispanic or Latino,1557575
Illinois (17),1990,Hispanic or Latino,911704
Illinois (17),1990,Not Hispanic or Latino,10541612
Illinois (17),1991,Hispanic or Latino,956647
Illinois (17),1991,Not Hispanic or Latino,10612317
Illinois (17),1992,Hispanic or Latino,1007281
Illinois (17),1992,Not Hispanic or Latino,10686903
Illinois (17),1993,Hispanic or Latino,1062336
Illinois (17),1993,Not Hispanic or Latino,10747243
Illinois (17),1994,Hispanic or Latino,1121887
Illinois (17),1994,Not Hispanic or Latino,10790698
Illinois (17),1995,Hispanic or Latino,1182656
Illinois (17),1995,Not Hispanic or Latino,10825781
Illinois (17),1996,Hispanic or Latino,1249496
Illinois (17),1996,Not Hispanic or Latino,10852501
Illinois (17),1997,Hispanic or Latino,1318069
Illinois (17),1997,Not Hispanic or Latino,10867646
Illinois (17),1998,Hispanic or Latino,1392413
Illinois (17),1998,Not Hispanic or Latino,10879434
Illinois (17),1999,Hispanic or Latino,1468062
Illinois (17),1999,Not Hispanic or Latino,10890958
Illinois (17),2000,Hispanic or Latino,1544165
Illinois (17),2000,Not Hispanic or Latino,10889996
Illinois (17),2001,Hispanic or Latino,1601533
Illinois (17),2001,Not Hispanic or Latino,10886912
Illinois (17),2002,Hispanic or Latino,1653300
Illinois (17),2002,Not Hispanic or Latino,10872256
Illinois (17),2003,Hispanic or Latino,1701923
Illinois (17),2003,Not Hispanic or Latino,10854083
Illinois (17),2004,Hispanic or Latino,1747272
Illinois (17),2004,Not Hispanic or Latino,10842501
Illinois (17),2005,Hispanic or Latino,1792149
Illinois (17),2005,Not Hispanic or Latino,10817754
Illinois (17),2006,Hispanic or Latino,1840227
Illinois (17),2006,Not Hispanic or Latino,10803728
Illinois (17),2007,Hispanic or Latino,1889627
Illinois (17),2007,Not Hispanic or Latino,10806239
Illinois (17),2008,Hispanic or Latino,1941348
Illinois (17),2008,Not Hispanic or Latino,10805690
Illinois (17),2009,Hispanic or Latino,1990555
Illinois (17),2009,Not Hispanic or Latino,10806223
Illinois (17),2010,Hispanic or Latino,2034669
Illinois (17),2010,Not Hispanic or Latino,10805834
Illinois (17),2011,Hispanic or Latino,2063983
Illinois (17),2011,Not Hispanic or Latino,10803471
Illinois (17),2012,Hispanic or Latino,2088169
Illinois (17),2012,Not Hispanic or Latino,10794341
Illinois (17),2013,Hispanic or Latino,2109855
Illinois (17),2013,Not Hispanic or Latino,10785274
Illinois (17),2014,Hispanic or Latino,2131182
Illinois (17),2014,Not Hispanic or Latino,10753311
Illinois (17),2015,Hispanic or Latino,2151138
Illinois (17),2015,Not Hispanic or Latino,10707775
Illinois (17),2016,Hispanic or Latino,2170466
Illinois (17),2016,Not Hispanic or Latino,10650061
Illinois (17),2017,Hispanic or Latino,2188039
Illinois (17),2017,Not Hispanic or Latino,10590789
Illinois (17),2018,Hispanic or Latino,2204614
Illinois (17),2018,Not Hispanic or Latino,10518457
Illinois (17),2019,Hispanic or Latino,2219882
Illinois (17),2019,Not Hispanic or Latino,10451939
Indiana (18),1990,Hispanic or Latino,98601
Indiana (18),1990,Not Hispanic or Latino,5459197
Indiana (18),1991,Hispanic or Latino,102839
Indiana (18),1991,Not Hispanic or Latino,5513549
Indiana (18),1992,Hispanic or Latino,108427
Indiana (18),1992,Not Hispanic or Latino,5566120
Indiana (18),1993,Hispanic or Latino,115591
Indiana (18),1993,Not Hispanic or Latino,5623428
Indiana (18),1994,Hispanic or Latino,123615
Indiana (18),1994,Not Hispanic or Latino,5669911
Indiana (18),1995,Hispanic or Latino,134940
Indiana (18),1995,Not Hispanic or Latino,5716519
Indiana (18),1996,Hispanic or Latino,147262
Indiana (18),1996,Not Hispanic or Latino,5758751
Indiana (18),1997,Hispanic or Latino,162178
Indiana (18),1997,Not Hispanic or Latino,5793089
Indiana (18),1998,Hispanic or Latino,179009
Indiana (18),1998,Not Hispanic or Latino,5819872
Indiana (18),1999,Hispanic or Latino,196996
Indiana (18),1999,Not Hispanic or Latino,5847974
Indiana (18),2000,Hispanic or Latino,217326
Indiana (18),2000,Not Hispanic or Latino,5874540
Indiana (18),2001,Hispanic or Latino,234469
Indiana (18),2001,Not Hispanic or Latino,5893291
Indiana (18),2002,Hispanic or Latino,249409
Indiana (18),2002,Not Hispanic or Latino,5906558
Indiana (18),2003,Hispanic or Latino,266236
Indiana (18),2003,Not Hispanic or Latino,5930402
Indiana (18),2004,Hispanic or Latino,283216
Indiana (18),2004,Not Hispanic or Latino,5949791
Indiana (18),2005,Hispanic or Latino,303357
Indiana (18),2005,Not Hispanic or Latino,5975259
Indiana (18),2006,Hispanic or Latino,324357
Indiana (18),2006,Not Hispanic or Latino,6008312
Indiana (18),2007,Hispanic or Latino,343653
Indiana (18),2007,Not Hispanic or Latino,6035946
Indiana (18),2008,Hispanic or Latino,361715
Indiana (18),2008,Not Hispanic or Latino,6063091
Indiana (18),2009,Hispanic or Latino,377857
Indiana (18),2009,Not Hispanic or Latino,6081468
Indiana (18),2010,Hispanic or Latino,391448
Indiana (18),2010,Not Hispanic or Latino,6098984
Indiana (18),2011,Hispanic or Latino,399978
Indiana (18),2011,Not Hispanic or Latino,6116550
Indiana (18),2012,Hispanic or Latino,408475
Indiana (18),2012,Not Hispanic or Latino,6129228
Indiana (18),2013,Hispanic or Latino,418981
Indiana (18),2013,Not Hispanic or Latino,6149732
Indiana (18),2014,Hispanic or Latino,428308
Indiana (18),2014,Not Hispanic or Latino,6165336
Indiana (18),2015,Hispanic or Latino,437032
Indiana (18),2015,Not Hispanic or Latino,6171390
Indiana (18),2016,Hispanic or Latino,449016
Indiana (18),2016,Not Hispanic or Latino,6185288
Indiana (18),2017,Hispanic or Latino,461327
Indiana (18),2017,Not Hispanic or Latino,6196751
Indiana (18),2018,Hispanic or Latino,475652
Indiana (18),2018,Not Hispanic or Latino,6219845
Indiana (18),2019,Hispanic or Latino,489353
Indiana (18),2019,Not Hispanic or Latino,6242866
Iowa (19),1990,Hispanic or Latino,31923
Iowa (19),1990,Not Hispanic or Latino,2749095
Iowa (19),1991,Hispanic or Latino,35066
Iowa (19),1991,Not Hispanic or Latino,2762547
Iowa (19),1992,Hispanic or Latino,36511
Iowa (19),1992,Not Hispanic or Latino,2781890
Iowa (19),1993,Hispanic or Latino,39710
Iowa (19),1993,Not Hispanic or Latino,2797262
Iowa (19),1994,Hispanic or Latino,43389
Iowa (19),1994,Not Hispanic or Latino,2807357
Iowa (19),1995,Hispanic or Latino,47637
Iowa (19),1995,Not Hispanic or Latino,2819736
Iowa (19),1996,Hispanic or Latino,52769
Iowa (19),1996,Not Hispanic or Latino,2827232
Iowa (19),1997,Hispanic or Latino,57331
Iowa (19),1997,Not Hispanic or Latino,2833788
Iowa (19),1998,Hispanic or Latino,63709
Iowa (19),1998,Not Hispanic or Latino,2839163
Iowa (19),1999,Hispanic or Latino,71985
Iowa (19),1999,Not Hispanic or Latino,2845649
Iowa (19),2000,Hispanic or Latino,83414
Iowa (19),2000,Not Hispanic or Latino,2845653
Iowa (19),2001,Hispanic or Latino,90470
Iowa (19),2001,Not Hispanic or Latino,2841527
Iowa (19),2002,Hispanic or Latino,96786
Iowa (19),2002,Not Hispanic or Latino,2837448
Iowa (19),2003,Hispanic or Latino,103031
Iowa (19),2003,Not Hispanic or Latino,2838968
Iowa (19),2004,Hispanic or Latino,109772
Iowa (19),2004,Not Hispanic or Latino,2843863
Iowa (19),2005,Hispanic or Latino,116416
Iowa (19),2005,Not Hispanic or Latino,2848038
Iowa (19),2006,Hispanic or Latino,123714
Iowa (19),2006,Not Hispanic or Latino,2858930
Iowa (19),2007,Hispanic or Latino,131042
Iowa (19),2007,Not Hispanic or Latino,2868170
Iowa (19),2008,Hispanic or Latino,137819
Iowa (19),2008,Not Hispanic or Latino,2878915
Iowa (19),2009,Hispanic or Latino,146041
Iowa (19),2009,Not Hispanic or Latino,2886829
Iowa (19),2010,Hispanic or Latino,153244
Iowa (19),2010,Not Hispanic or Latino,2897501
Iowa (19),2011,Hispanic or Latino,158240
Iowa (19),2011,Not Hispanic or Latino,2908096
Iowa (19),2012,Hispanic or Latino,162632
Iowa (19),2012,Not Hispanic or Latino,2913558
Iowa (19),2013,Hispanic or Latino,168372
Iowa (19),2013,Not Hispanic or Latino,2924625
Iowa (19),2014,Hispanic or Latino,173045
Iowa (19),2014,Not Hispanic or Latino,2936305
Iowa (19),2015,Hispanic or Latino,178332
Iowa (19),2015,Not Hispanic or Latino,2942628
Iowa (19),2016,Hispanic or Latino,183725
Iowa (19),2016,Not Hispanic or Latino,2947646
Iowa (19),2017,Hispanic or Latino,188928
Iowa (19),2017,Not Hispanic or Latino,2952622
Iowa (19),2018,Hispanic or Latino,194214
Iowa (19),2018,Not Hispanic or Latino,2954404
Iowa (19),2019,Hispanic or Latino,198550
Iowa (19),2019,Not Hispanic or Latino,2956520
Kansas (20),1990,Hispanic or Latino,93332
Kansas (20),1990,Not Hispanic or Latino,2388017
Kansas (20),1991,Hispanic or Latino,98510
Kansas (20),1991,Not Hispanic or Latino,2400212
Kansas (20),1992,Hispanic or Latino,105514
Kansas (20),1992,Not Hispanic or Latino,2426881
Kansas (20),1993,Hispanic or Latino,112669
Kansas (20),1993,Not Hispanic or Latino,2443878
Kansas (20),1994,Hispanic or Latino,120673
Kansas (20),1994,Not Hispanic or Latino,2459840
Kansas (20),1995,Hispanic or Latino,129670
Kansas (20),1995,Not Hispanic or Latino,2471338
Kansas (20),1996,Hispanic or Latino,138865
Kansas (20),1996,Not Hispanic or Latino,2475689
Kansas (20),1997,Hispanic or Latino,150022
Kansas (20),1997,Not Hispanic or Latino,2485270
Kansas (20),1998,Hispanic or Latino,162249
Kansas (20),1998,Not Hispanic or Latino,2498349
Kansas (20),1999,Hispanic or Latino,174731
Kansas (20),1999,Not Hispanic or Latino,2503607
Kansas (20),2000,Hispanic or Latino,190633
Kansas (20),2000,Not Hispanic or Latino,2503048
Kansas (20),2001,Hispanic or Latino,200720
Kansas (20),2001,Not Hispanic or Latino,2501442
Kansas (20),2002,Hispanic or Latino,210500
Kansas (20),2002,Not Hispanic or Latino,2503035
Kansas (20),2003,Hispanic or Latino,220354
Kansas (20),2003,Not Hispanic or Latino,2502650
Kansas (20),2004,Hispanic or Latino,230124
Kansas (20),2004,Not Hispanic or Latino,2504249
Kansas (20),2005,Hispanic or Latino,240651
Kansas (20),2005,Not Hispanic or Latino,2504648
Kansas (20),2006,Hispanic or Latino,251627
Kansas (20),2006,Not Hispanic or Latino,2511304
Kansas (20),2007,Hispanic or Latino,263655
Kansas (20),2007,Not Hispanic or Latino,2520130
Kansas (20),2008,Hispanic or Latino,276744
Kansas (20),2008,Not Hispanic or Latino,2531332
Kansas (20),2009,Hispanic or Latino,289553
Kansas (20),2009,Not Hispanic or Latino,2543151
Kansas (20),2010,Hispanic or Latino,302147
Kansas (20),2010,Not Hispanic or Latino,2556043
Kansas (20),2011,Hispanic or Latino,308328
Kansas (20),2011,Not Hispanic or Latino,2560897
Kansas (20),2012,Hispanic or Latino,315608
Kansas (20),2012,Not Hispanic or Latino,2569649
Kansas (20),2013,Hispanic or Latino,321692
Kansas (20),2013,Not Hispanic or Latino,2571520
Kansas (20),2014,Hispanic or Latino,328576
Kansas (20),2014,Not Hispanic or Latino,2571899
Kansas (20),2015,Hispanic or Latino,335062
Kansas (20),2015,Not Hispanic or Latino,2573949
Kansas (20),2016,Hispanic or Latino,340741
Kansas (20),2016,Not Hispanic or Latino,2570103
Kansas (20),2017,Hispanic or Latino,345781
Kansas (20),2017,Not Hispanic or Latino,2562937
Kansas (20),2018,Hispanic or Latino,351378
Kansas (20),2018,Not Hispanic or Latino,2559981
Kansas (20),2019,Hispanic or Latino,356073
Kansas (20),2019,Not Hispanic or Latino,2557241
Kentucky (21),1990,Hispanic or Latino,21180
Kentucky (21),1990,Not Hispanic or Latino,3672868
Kentucky (21),1991,Hispanic or Latino,21912
Kentucky (21),1991,Not Hispanic or Latino,3700416
Kentucky (21),1992,Hispanic or Latino,23119
Kentucky (21),1992,Not Hispanic or Latino,3742350
Kentucky (21),1993,Hispanic or Latino,25787
Kentucky (21),1993,Not Hispanic or Latino,3786419
Kentucky (21),1994,Hispanic or Latino,27575
Kentucky (21),1994,Not Hispanic or Latino,3821513
Kentucky (21),1995,Hispanic or Latino,29812
Kentucky (21),1995,Not Hispanic or Latino,3857615
Kentucky (21),1996,Hispanic or Latino,33724
Kentucky (21),1996,Not Hispanic or Latino,3885812
Kentucky (21),1997,Hispanic or Latino,37839
Kentucky (21),1997,Not Hispanic or Latino,3914908
Kentucky (21),1998,Hispanic or Latino,43547
Kentucky (21),1998,Not Hispanic or Latino,3941844
Kentucky (21),1999,Hispanic or Latino,50110
Kentucky (21),1999,Not Hispanic or Latino,3967943
Kentucky (21),2000,Hispanic or Latino,60730
Kentucky (21),2000,Not Hispanic or Latino,3988291
Kentucky (21),2001,Hispanic or Latino,67160
Kentucky (21),2001,Not Hispanic or Latino,4000972
Kentucky (21),2002,Hispanic or Latino,73197
Kentucky (21),2002,Not Hispanic or Latino,4016678
Kentucky (21),2003,Hispanic or Latino,80016
Kentucky (21),2003,Not Hispanic or Latino,4037154
Kentucky (21),2004,Hispanic or Latino,87207
Kentucky (21),2004,Not Hispanic or Latino,4058894
Kentucky (21),2005,Hispanic or Latino,95238
Kentucky (21),2005,Not Hispanic or Latino,4087504
Kentucky (21),2006,Hispanic or Latino,102180
Kentucky (21),2006,Not Hispanic or Latino,4117059
Kentucky (21),2007,Hispanic or Latino,110919
Kentucky (21),2007,Not Hispanic or Latino,4145753
Kentucky (21),2008,Hispanic or Latino,118362
Kentucky (21),2008,Not Hispanic or Latino,4171516
Kentucky (21),2009,Hispanic or Latino,126724
Kentucky (21),2009,Not Hispanic or Latino,4190350
Kentucky (21),2010,Hispanic or Latino,134177
Kentucky (21),2010,Not Hispanic or Latino,4214004
Kentucky (21),2011,Hispanic or Latino,138045
Kentucky (21),2011,Not Hispanic or Latino,4231776
Kentucky (21),2012,Hispanic or Latino,142706
Kentucky (21),2012,Not Hispanic or Latino,4243640
Kentucky (21),2013,Hispanic or Latino,147609
Kentucky (21),2013,Not Hispanic or Latino,4257050
Kentucky (21),2014,Hispanic or Latino,150109
Kentucky (21),2014,Not Hispanic or Latino,4264240
Kentucky (21),2015,Hispanic or Latino,153558
Kentucky (21),2015,Not Hispanic or Latino,4272418
Kentucky (21),2016,Hispanic or Latino,158310
Kentucky (21),2016,Not Hispanic or Latino,4279872
Kentucky (21),2017,Hispanic or Latino,164491
Kentucky (21),2017,Not Hispanic or Latino,4287777
Kentucky (21),2018,Hispanic or Latino,170343
Kentucky (21),2018,Not Hispanic or Latino,4290810
Kentucky (21),2019,Hispanic or Latino,174706
Kentucky (21),2019,Not Hispanic or Latino,4292967
Louisiana (22),1990,Hispanic or Latino,92013
Louisiana (22),1990,Not Hispanic or Latino,4129519
Louisiana (22),1991,Hispanic or Latino,94082
Louisiana (22),1991,Not Hispanic or Latino,4159197
Louisiana (22),1992,Hispanic or Latino,95193
Louisiana (22),1992,Not Hispanic or Latino,4197810
Louisiana (22),1993,Hispanic or Latino,95034
Louisiana (22),1993,Not Hispanic or Latino,4221394
Louisiana (22),1994,Hispanic or Latino,96270
Louisiana (22),1994,Not Hispanic or Latino,4251211
Louisiana (22),1995,Hispanic or Latino,98424
Louisiana (22),1995,Not Hispanic or Latino,4280355
Louisiana (22),1996,Hispanic or Latino,99615
Louisiana (22),1996,Not Hispanic or Latino,4299262
Louisiana (22),1997,Hispanic or Latino,101156
Louisiana (22),1997,Not Hispanic or Latino,4319916
Louisiana (22),1998,Hispanic or Latino,102944
Louisiana (22),1998,Not Hispanic or Latino,4337400
Louisiana (22),1999,Hispanic or Latino,104926
Louisiana (22),1999,Not Hispanic or Latino,4355885
Louisiana (22),2000,Hispanic or Latino,108997
Louisiana (22),2000,Not Hispanic or Latino,4362888
Louisiana (22),2001,Hispanic or Latino,116210
Louisiana (22),2001,Not Hispanic or Latino,4361665
Louisiana (22),2002,Hispanic or Latino,124055
Louisiana (22),2002,Not Hispanic or Latino,4373212
Louisiana (22),2003,Hispanic or Latino,131268
Louisiana (22),2003,Not Hispanic or Latino,4389774
Louisiana (22),2004,Hispanic or Latino,139738
Louisiana (22),2004,Not Hispanic or Latino,4412500
Louisiana (22),2005,Hispanic or Latino,148801
Louisiana (22),2005,Not Hispanic or Latino,4427827
Louisiana (22),2006,Hispanic or Latino,145440
Louisiana (22),2006,Not Hispanic or Latino,4157225
Louisiana (22),2007,Hispanic or Latino,158851
Louisiana (22),2007,Not Hispanic or Latino,4216730
Louisiana (22),2008,Hispanic or Latino,170866
Louisiana (22),2008,Not Hispanic or Latino,4264720
Louisiana (22),2009,Hispanic or Latino,183456
Louisiana (22),2009,Not Hispanic or Latino,4308192
Louisiana (22),2010,Hispanic or Latino,194086
Louisiana (22),2010,Not Hispanic or Latino,4350446
Louisiana (22),2011,Hispanic or Latino,202074
Louisiana (22),2011,Not Hispanic or Latino,4373551
Louisiana (22),2012,Hispanic or Latino,208103
Louisiana (22),2012,Not Hispanic or Latino,4392869
Louisiana (22),2013,Hispanic or Latino,216274
Louisiana (22),2013,Not Hispanic or Latino,4408253
Louisiana (22),2014,Hispanic or Latino,222812
Louisiana (22),2014,Not Hispanic or Latino,4421201
Louisiana (22),2015,Hispanic or Latino,229543
