variable,direction,description,paper_area,democracy_area,area,collector,long_description,in_vdem,liberalism,input,years_complete,url,url2,most_important,keep
EG_s,-,Gerrymandering: Efficiency gap (state leg.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
declination2_s,-,Gerrymandering: declination (state leg.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
declination2_c,-,Gerrymandering: declination (Cong.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
EG_pres_s,-,Gerrymandering: Efficiency gap (state leg.-pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
mean_median_pres_s,-,Gerrymandering: mean-median difference (state leg.-pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
declination2_pres_s,-,Gerrymandering: declination (state leg.-pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
symmetry_pres_s,-,Gerrymandering: partisan symmetry (state leg.-pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
mean_median_c,-,Gerrymandering: mean-median difference (Cong.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
symmetry_c,-,Gerrymandering: partisan symmetry (Cong.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
EG_pres_c,-,Gerrymandering: Efficiency gap (Cong.-Pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
mean_median_pres_c,-,Gerrymandering: mean-median difference (Cong.-Pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
declination2_pres_c,-,Gerrymandering: declination (Cong.-Pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
symmetry_pres_c,-,Gerrymandering: partisan symmetry (Cong.-Pres.),Electoral,Electoral,Gerrymandering,,,Stephanopoulos & Warshaw 2019,,1,,,,,1
blackincarcerate,-,Black Incarceration Rate,Liberal,Racial Equity,,,,,,1,,,,,1
